Count,Domain Name,Registrar,Creation Date,Expiration Date,Name Servers,Error
1,http://z-hmq.aqovm.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
2,http://z-j084.inreu.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
3,http://z-p37.hnuob.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
4,http://z-s.chsbz.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
5,http://z-wlha.qwmye.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
6,http://z-xef.sbbvq.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
7,http://z-xyjt.agcuh.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
8,https://aumwtbsasi1.cyou/partb1.php,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
9,https://bodiacfske2.cyou/abrah2.php,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
10,https://cdmgtdbksi3.cyou/roser3.php,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
11,https://dbmbtcsdki4.cyou/hawtr4.php,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
12,https://ds8.nejfe.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
13,http://5rbh2re.duckdns.org/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
14,http://zovno1r.duckdns.org/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
15,https://_.s1.dayounft.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
16,https://_.s1.etaohai.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
17,https://_.s1.zqequ.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
18,https://ekicomjp.etaohai.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
19,https://ekicomjp.jmsgmhotel.com/,N/A,N/A,N/A,N/A,[Errno -2] Name or service not known
